Namespace,Slack,Email,SourceCode,IsProduction
visit-someone-in-prison-frontend-svc-dev,prison-visit-booking,Prisoner Communications: prisonvisitsbooking@digital.justice.gov.uk,https://github.com/ministryofjustice/book-a-prison-visit-staff-ui,false
visit-someone-in-prison-frontend-svc-prod,prison-visit-booking,Prisoner Communications: prisonvisitsbooking@digital.justice.gov.uk,https://github.com/ministryofjustice/book-a-prison-visit-staff-ui,true
visit-someone-in-prison-frontend-svc-staging,prison-visit-booking,Prisoner Communications: prisonvisitsbooking@digital.justice.gov.uk,https://github.com/ministryofjustice/book-a-prison-visit-staff-ui,false
c100-application-metabase,hmcts-sustaining-team,HMCTS Product Enhancement Team: sustainingaccountnotifications@hmcts.net,https://github.com/ministryofjustice/c100-application,true
c100-application-production,hmcts-sustaining-team,HMCTS Product Enhancement Team: sustainingaccountnotifications@hmcts.net,https://github.com/ministryofjustice/c100-application,true
c100-application-staging,hmcts-sustaining-team,HMCTS Product Enhancement Team: sustainingaccountnotifications@hmcts.net,https://github.com/ministryofjustice/c100-application,false
calculate-journey-variable-payments-dev,calculate-journey-payments,PECS: pecs-digital-tech@digital.justice.gov.uk,https://github.com/ministryofjustice/calculate-journey-variable-payments,false
calculate-journey-variable-payments-preprod,calculate-journey-payments,PECS: pecs-digital-tech@digital.justice.gov.uk,https://github.com/ministryofjustice/calculate-journey-variable-payments,false
calculate-journey-variable-payments-prod,calculate-journey-payments,PECS: pecs-digital-tech@digital.justice.gov.uk,https://github.com/ministryofjustice/calculate-journey-variable-payments,true
check-financial-eligibility-production,apply-alerts-prod,Apply For Legal Aid dev team: apply@digital.justice.gov.uk: apply@digital.justice.gov.uk: apply@digtal.justice.gov.uk,https://github.com/ministryofjustice/check-financial-eligibility,true
check-financial-eligibility-staging,apply-alerts-prod,Apply For Legal Aid dev team: apply@digital.justice.gov.uk: apply@digital.justice.gov.uk: apply@digtal.justice.gov.uk,https://github.com/ministryofjustice/check-financial-eligibility,false
check-financial-eligibility-uat,apply-alerts-prod,Apply For Legal Aid dev team: apply@digital.justice.gov.uk: apply@digital.justice.gov.uk,https://github.com/ministryofjustice/check-financial-eligibility,false
check-financial-eligibility-partner-production,eligibility-team,Estimate Eligibility: eligibility@justice.gov.uk,https://github.com/ministryofjustice/check-financial-eligibility-partner,true
check-financial-eligibility-partner-staging,estimate-eligibility-dev,estimate eligibility: eligibility@justice.gov.uk,https://github.com/ministryofjustice/check-financial-eligibility-partner,false
check-financial-eligibility-partner-uat,estimate-eligibility-dev,Estimate Eligibility: eligibility@justice.gov.uk,https://github.com/ministryofjustice/check-financial-eligibility-partner,false
laa-cla-end-to-end-tests,laa-cla-fala,CLA/FALA: civil-legal-advice@digital.justice.gov.uk,https://github.com/ministryofjustice/cla-end-to-end-tests,false
laa-cla-backend-production,cla-alerts,LAA Get Access: laa-get-access@digital.justice.gov.uk,https://github.com/ministryofjustice/cla_backend,true
laa-cla-backend-staging,cla-alerts,LAA Get Access: laa-get-access@digital.justice.gov.uk,https://github.com/ministryofjustice/cla_backend,false
laa-cla-backend-training,cla-alerts,LAA Get Access: laa-get-access@digital.justice.gov.uk,https://github.com/ministryofjustice/cla_backend,true
laa-cla-backend-uat,cla-alerts,LAA Get Access: laa-get-access@digital.justice.gov.uk,https://github.com/ministryofjustice/cla_backend,false
